"2020.11.01;254;"
"2020.11.02;268;"
"2020.11.03;287;"
"2020.11.04;299;"
"2020.11.05;301;"
"2020.11.06;245;"
"2020.11.07;222;"
"2020.11.08;236;"
"2020.11.09;201;"
"2020.11.10;269;"
"2020.11.11;254;"
"2020.11.12;298;"
"2020.11.13;321;"
"2020.11.14;369;"
"2020.11.15;374;"
"2020.11.16;360;"
"2020.11.17;398;"
"2020.11.18;406;"
"2020.11.19;421;"
"2020.11.20;436;"
"2020.11.21;387;"
"2020.11.22;356;"
"2020.11.23;389;"
"2020.11.24;402;"
"2020.11.25;468;"
"2020.11.26;463;"
"2020.11.27;498;"
"2020.11.28;502;"
"2020.11.29;521;"
"2020.11.30;513;"
