"2020.11.01;2799;"
"2020.11.02;2863;"
"2020.11.03;2847;"
"2020.11.04;2812;"
"2020.11.05;2902;"
"2020.11.06;2967;"
"2020.11.07;3211;"
"2020.11.08;3009;"
"2020.11.09;3057;"
"2020.11.10;3229;"
"2020.11.11;3200;"
"2020.11.12;3349;"
"2020.11.13;3587;"
"2020.11.14;3598;"
"2020.11.15;3723;"
"2020.11.16;3897;"
"2020.11.17;4361;"
"2020.11.18;4136;"
"2020.11.19;4269;"
"2020.11.20;4390;"
"2020.11.21;4561;"
"2020.11.22;4598;"
"2020.11.23;4632;"
"2020.11.24;4873;"
"2020.11.25;4444;"
"2020.11.26;4954;"
"2020.11.27;4968;"
"2020.11.28;4995;"
"2020.11.29;4833;"
"2020.11.30;5123;"
