"2020.11.01;5689;"
"2020.11.02;5871;"
"2020.11.03;6021;"
"2020.11.04;6123;"
"2020.11.05;6187;"
"2020.11.06;6301;"
"2020.11.07;6387;"
"2020.11.08;6556;"
"2020.11.09;6390;"
"2020.11.10;6703;"
"2020.11.11;6783;"
"2020.11.12;6668;"
"2020.11.13;6773;"
"2020.11.14;6823;"
"2020.11.15;7006;"
"2020.11.16;7083;"
"2020.11.17;7169;"
"2020.11.18;7268;"
"2020.11.19;7299;"
"2020.11.20;7463;"
"2020.11.21;7462;"
"2020.11.22;7562;"
"2020.11.23;7598;"
"2020.11.24;7698;"
"2020.11.25;7903;"
"2020.11.26;7806;"
"2020.11.27;7892;"
"2020.11.28;8065;"
"2020.11.29;8236;"
"2020.11.30;8562;"
