"2020.11.01;1547;"
"2020.11.02;1542;"
"2020.11.03;1487;"
"2020.11.04;1499;"
"2020.11.05;1523;"
"2020.11.06;1521;"
"2020.11.07;1741;"
"2020.11.08;1523;"
"2020.11.09;1589;"
"2020.11.10;1622;"
"2020.11.11;1674;"
"2020.11.12;1602;"
"2020.11.13;1736;"
"2020.11.14;1789;"
"2020.11.15;1836;"
"2020.11.16;1865;"
"2020.11.17;1897;"
"2020.11.18;1994;"
"2020.11.19;2011;"
"2020.11.20;2097;"
"2020.11.21;2031;"
"2020.11.22;1891;"
"2020.11.23;2003;"
"2020.11.24;2167;"
"2020.11.25;2223;"
"2020.11.26;2384;"
"2020.11.27;2369;"
"2020.11.28;2564;"
"2020.11.29;2689;"
"2020.11.30;2557;"
