"2020.11.01;3269;"
"2020.11.02;3287;"
"2020.11.03;3333;"
"2020.11.04;3547;"
"2020.11.05;3459;"
"2020.11.06;3654;"
"2020.11.07;3631;"
"2020.11.08;3698;"
"2020.11.09;3821;"
"2020.11.10;3974;"
"2020.11.11;3999;"
"2020.11.12;3871;"
"2020.11.13;3855;"
"2020.11.14;4002;"
"2020.11.15;4097;"
"2020.11.16;4183;"
"2020.11.17;4239;"
"2020.11.18;4439;"
"2020.11.19;4444;"
"2020.11.20;4169;"
"2020.11.21;4069;"
"2020.11.22;4369;"
"2020.11.23;4597;"
"2020.11.24;4732;"
"2020.11.25;4765;"
"2020.11.26;4798;"
"2020.11.27;4892;"
"2020.11.28;4960;"
"2020.11.29;5036;"
"2020.11.30;5211;"
