"2020.11.01;3029;"
"2020.11.02;3159;"
"2020.11.03;3278;"
"2020.11.04;3369;"
"2020.11.05;3397;"
"2020.11.06;3501;"
"2020.11.07;3568;"
"2020.11.08;3432;"
"2020.11.09;3476;"
"2020.11.10;3692;"
"2020.11.11;3821;"
"2020.11.12;3903;"
"2020.11.13;3954;"
"2020.11.14;3999;"
"2020.11.15;4136;"
"2020.11.16;4365;"
"2020.11.17;4403;"
"2020.11.18;4209;"
"2020.11.19;4008;"
"2020.11.20;4168;"
"2020.11.21;4368;"
"2020.11.22;4523;"
"2020.11.23;4587;"
"2020.11.24;4693;"
"2020.11.25;4735;"
"2020.11.26;4789;"
"2020.11.27;4923;"
"2020.11.28;4970;"
"2020.11.29;5036;"
"2020.11.30;5217;"
