"2020.11.01;17036;"
"2020.11.02;17562;"
"2020.11.03;17265;"
"2020.11.04;18036;"
"2020.11.05;18251;"
"2020.11.06;18423;"
"2020.11.07;18963;"
"2020.11.08;18744;"
"2020.11.09;19023;"
"2020.11.10;19236;"
"2020.11.11;19658;"
"2020.11.12;20003;"
"2020.11.13;20789;"
"2020.11.14;22222;"
"2020.11.15;22001;"
"2020.11.16;21987;"
"2020.11.17;23874;"
"2020.11.18;24625;"
"2020.11.19;24365;"
"2020.11.20;25783;"
"2020.11.21;25630;"
"2020.11.22;26987;"
"2020.11.23;27563;"
"2020.11.24;27998;"
"2020.11.25;28632;"
"2020.11.26;28999;"
"2020.11.27;29932;"
"2020.11.28;31549;"
"2020.11.29;30025;"
"2020.11.30;30198;"
